sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 11, 2024 01:01:23

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
       +pushToPopGray_buffercc:buffercc_1_df90192d804f4368a8d673b8aee86950	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
      +fifo_rdpush:streamfifocc64_df90192d804f4368a8d673b8aee86950(DATA_WIDTH=1)	     54(26)	       0(0)	       8(8)	     44(31)	     0(0)	     0(0)	     0(0)	
       +popToPushGray_buffercc:buffercc_df90192d804f4368a8d673b8aee86950	     14(14)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_df90192d804f4368a8d673b8aee86950	     14(14)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
      +fifo_rd:efx_fifo_top_df90192d804f4368a8d673b8aee86950_renamed_due_excessive_length_1	      50(0)	      14(0)	      35(0)	      83(0)	     0(0)	     7(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_df90192d804f4368a8d673b8aee86950(FAMILY="TITANIUM",MODE="FWFT",WR_DEPTH=64,RD_DEPTH=64,WDATA_WIDTH=128,RDATA_WIDTH=128,WADDR_WIDTH=6,RADDR_WIDTH=6,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     36(36)	     0(0)	     7(7)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_df90192d804f4368a8d673b8aee86950(FAMILY="TITANIUM",SYNC_CLK=0,MODE="FWFT",WR_DEPTH=64,WADDR_WIDTH=6,RADDR_WIDTH=6,PROG_FULL_ASSERT=33,PROG_FULL_NEGATE=33,PROG_EMPTY_NEGATE=2)	     50(50)	      14(0)	     35(35)	     47(23)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_df90192d804f4368a8d673b8aee86950(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_df90192d804f4368a8d673b8aee86950(STAGE=2,WIDTH=7)	       0(0)	       7(7)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_df90192d804f4368a8d673b8aee86950(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_df90192d804f4368a8d673b8aee86950(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_df90192d804f4368a8d673b8aee86950	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_df90192d804f4368a8d673b8aee86950(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_df90192d804f4368a8d673b8aee86950(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_df90192d804f4368a8d673b8aee86950(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_bin2gray:efx_fifo_bin2gray_df90192d804f4368a8d673b8aee86950(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_addr_sync:efx_fifo_datasync_df90192d804f4368a8d673b8aee86950(STAGE=2,WIDTH=7)	       0(0)	       7(7)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
        +genblk7.wr2rd_gray2bin:efx_fifo_gray2bin_df90192d804f4368a8d673b8aee86950(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_df90192d804f4368a8d673b8aee86950(WIDTH=6)	       0(0)	       0(0)	       0(0)	       5(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_df90192d804f4368a8d673b8aee86950	       0(0)	       0(0)	       0(0)	       4(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_df90192d804f4368a8d673b8aee86950(WIDTH=4)	       0(0)	       0(0)	       0(0)	       3(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_df90192d804f4368a8d673b8aee86950(WIDTH=3)	       0(0)	       0(0)	       0(0)	       2(1)	     0(0)	     0(0)	     0(0)	
             +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_df90192d804f4368a8d673b8aee86950(WIDTH=2)	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +fifo_ack:streamfifocc64_df90192d804f4368a8d673b8aee86950(DATA_WIDTH=2)	     54(26)	       0(0)	       0(0)	     45(39)	     0(0)	     1(1)	     0(0)	
       +popToPushGray_buffercc:buffercc_df90192d804f4368a8d673b8aee86950	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_df90192d804f4368a8d673b8aee86950	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +ac_fifo:streamfifocc64_df90192d804f4368a8d673b8aee86950(DATA_WIDTH=52)	     54(26)	       0(0)	       0(0)	     44(41)	     0(0)	     3(3)	     0(0)	
       +popToPushGray_buffercc:buffercc_df90192d804f4368a8d673b8aee86950	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_df90192d804f4368a8d673b8aee86950	     14(14)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +controller_main:ddr_3_controller_df90192d804f4368a8d673b8aee86950	 1146(1146)	   146(146)	   103(103)	   878(874)	     0(0)	     4(0)	     0(0)	
       +map_ram:user_dual_port_ram_df90192d804f4368a8d673b8aee86950(DATA_WIDTH=72,OUTPUT_REG="FALSE",RAM_INIT_FILE="ddr3_controller.bin")	       0(0)	       0(0)	       0(0)	       4(4)	     0(0)	     4(4)	     0(0)	
     +rst_top0:reset_ctrl_df90192d804f4368a8d673b8aee86950(NUM_RST=2,CYCLE=5,IN_RST_ACTIVE=2'b0,OUT_RST_ACTIVE=2'b0)	       2(0)	       2(0)	       0(0)	       2(0)	     0(0)	     0(0)	     0(0)	
      +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_df90192d804f4368a8d673b8aee86950(OUT_RST_ACTIVE="LOW",CYCLE=5)	       1(1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
      +genblk1[1].genblk1.genblk1.inst_sysclk_rstn:reset_sub_df90192d804f4368a8d673b8aee86950(OUT_RST_ACTIVE="LOW",CYCLE=5)	       1(1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +phase_u0:phase_shift_df90192d804f4368a8d673b8aee86950 	     10(10)	       0(0)	       0(0)	     11(11)	     0(0)	     0(0)	     0(0)	
 +axi4_awar_mux:AXI4_AWARMux(AID_LEN=4)                     	       6(6)	       0(0)	       0(0)	     40(40)	     0(0)	     0(0)	     0(0)	
 +dsi_pwm:PWMLite                                           	       8(8)	       0(0)	       6(6)	       2(2)	     0(0)	     0(0)	     0(0)	
 +u_CMOS_Capture_RAW_Gray:CMOS_Capture_RAW_Gray(CMOS_FRAME_WAITCNT=2,CMOS_PCLK_FREQ=74250000)	     35(35)	       0(0)	     11(11)	     33(33)	     0(0)	     0(0)	     0(0)	
 +u2_CMOS_Capture_RAW_Gray:CMOS_Capture_RAW_Gray(CMOS_FRAME_WAITCNT=2,CMOS_PCLK_FREQ=74250000)	     35(35)	       0(0)	     11(11)	     32(32)	     0(0)	     0(0)	     0(0)	
 +u_Sensor_Image_XYCrop:Sensor_Image_XYCrop(IMAGE_HSIZE_TARGET_LEFT=160,IMAGE_HSIZE_TARGET_RIGHT=1120)	     35(35)	       0(0)	     23(23)	     32(32)	     0(0)	     0(0)	     0(0)	
 +u_Sensor_Image_XYCrop2:Sensor_Image_XYCrop(IMAGE_HSIZE_TARGET_LEFT=593,IMAGE_HSIZE_TARGET_RIGHT=1120)	     35(35)	       0(0)	     23(23)	     33(33)	     0(0)	     0(0)	     0(0)	
 +u1_asyn_fifo_4kx8:asyn_fifo_4kx8                          	     111(0)	      30(0)	      58(0)	     100(0)	     0(0)	    16(0)	     0(0)	
  +u_efx_fifo_top:efx_fifo_top_d66cb55aca88488c9873fdc922a75a1e_renamed_due_excessive_length_73	     111(4)	      30(0)	      58(0)	     100(0)	     0(0)	    16(0)	     0(0)	
   +xefx_fifo_ram:efx_fifo_ram_d66cb55aca88488c9873fdc922a75a1e(FAMILY="TITANIUM",MODE="FWFT",WR_DEPTH=16384,RD_DEPTH=16384,WADDR_WIDTH=14,RADDR_WIDTH=14,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	       8(8)	     0(0)	   16(16)	     0(0)	
   +xefx_fifo_ctl:efx_fifo_ctl_d66cb55aca88488c9873fdc922a75a1e_renamed_due_excessive_length_74	   107(107)	      30(0)	     58(58)	     92(36)	     0(0)	     0(0)	     0(0)	
    +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_d66cb55aca88488c9873fdc922a75a1e(WIDTH=15)	       0(0)	       0(0)	       0(0)	     14(14)	     0(0)	     0(0)	     0(0)	
    +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_d66cb55aca88488c9873fdc922a75a1e(STAGE=2,WIDTH=15)	       0(0)	     15(15)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +genblk7.xrd2wr_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=15)	       0(0)	       0(0)	       0(0)	      14(1)	     0(0)	     0(0)	     0(0)	
     +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=14)	       0(0)	       0(0)	       0(0)	      13(1)	     0(0)	     0(0)	     0(0)	
      +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=13)	       0(0)	       0(0)	       0(0)	      12(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=12)	       0(0)	       0(0)	       0(0)	      11(1)	     0(0)	     0(0)	     0(0)	
        +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=11)	       0(0)	       0(0)	       0(0)	      10(1)	     0(0)	     0(0)	     0(0)	
         +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=10)	       0(0)	       0(0)	       0(0)	       9(1)	     0(0)	     0(0)	     0(0)	
          +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=9)	       0(0)	       0(0)	       0(0)	       8(1)	     0(0)	     0(0)	     0(0)	
           +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=8)	       0(0)	       0(0)	       0(0)	       7(1)	     0(0)	     0(0)	     0(0)	
            +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_d66cb55aca88488c9873fdc922a75a1e(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(1)	     0(0)	     0(0)	     0(0)	
