sep=\t
Module Resource Usage Distribution Estimates
Generated at: Oct 09, 2024 15:04:42

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
       +popToPushGray_buffercc:buffercc_f8e357ee76084051a56be552e4669b77	     14(14)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_f8e357ee76084051a56be552e4669b77	     14(14)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
      +fifo_rdpush:streamfifocc64_f8e357ee76084051a56be552e4669b77(DATA_WIDTH=1)	     54(26)	       0(0)	       8(8)	     46(32)	     0(0)	     0(0)	     0(0)	
       +popToPushGray_buffercc:buffercc_f8e357ee76084051a56be552e4669b77	     14(14)	       0(0)	       0(0)	       5(5)	     0(0)	     0(0)	     0(0)	
       +pushToPopGray_buffercc:buffercc_1_f8e357ee76084051a56be552e4669b77	     14(14)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
      +fifo_rd:efx_fifo_top_f8e357ee76084051a56be552e4669b77_renamed_due_excessive_length_1	      50(0)	      14(0)	      35(0)	      78(0)	     0(0)	     7(0)	     0(0)	
       +xefx_fifo_ram:efx_fifo_ram_f8e357ee76084051a56be552e4669b77(FAMILY="TITANIUM",MODE="FWFT",WR_DEPTH=64,RD_DEPTH=64,WDATA_WIDTH=128,RDATA_WIDTH=128,WADDR_WIDTH=6,RADDR_WIDTH=6,OUTPUT_REG=0,RAM_MUX_RATIO=1)	       0(0)	       0(0)	       0(0)	     35(35)	     0(0)	     7(7)	     0(0)	
       +xefx_fifo_ctl:efx_fifo_ctl_f8e357ee76084051a56be552e4669b77(FAMILY="TITANIUM",SYNC_CLK=0,MODE="FWFT",WR_DEPTH=64,WADDR_WIDTH=6,RADDR_WIDTH=6,PROG_FULL_ASSERT=33,PROG_FULL_NEGATE=33,PROG_EMPTY_NEGATE=2)	     50(50)	      14(0)	     35(35)	     43(19)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_bin2gray:efx_fifo_bin2gray_f8e357ee76084051a56be552e4669b77(WIDTH=7)	       0(0)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
        +genblk7.xrd2wr_addr_sync:efx_fifo_datasync_f8e357ee76084051a56be552e4669b77(STAGE=2,WIDTH=7)	       0(0)	       7(7)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
